county,state,deaths,population,crude_rate
Wise County, VA,50,737950,6.8
Wythe County, VA,27,514605,5.2
York County, VA,73,1141249,6.4
Alexandria city, VA,45,2468536,1.8
Bristol city, VA,10,314363,
Charlottesville city, VA,32,775968,4.1
Chesapeake city, VA,348,3921820,8.9
Colonial Heights city, VA,20,312698,6.4
Covington city, VA,17,108204,
Danville city, VA,48,803478,6
Franklin city, VA,16,151478,
Fredericksburg city, VA,19,425815,
Hampton city, VA,268,2513144,10.7
Harrisonburg city, VA,23,843015,2.7
Hopewell city, VA,27,402068,6.7
Lynchburg city, VA,37,1302444,2.8
Manassas city, VA,15,677091,
Martinsville city, VA,12,256730,
Newport News city, VA,425,3276214,13
Norfolk city, VA,634,4350733,14.6
Petersburg city, VA,47,586079,8
Poquoson city, VA,10,214557,
Portsmouth city, VA,298,1751084,17
Radford city, VA,14,295749,
Richmond city, VA,262,3683905,7.1
Roanoke city, VA,128,1731155,7.4
Salem city, VA,39,446144,8.7
Staunton city, VA,31,430461,7.2
Suffolk city, VA,148,1420674,10.4
Virginia Beach city, VA,621,7884843,7.9
Waynesboro city, VA,34,372452,9.1
Winchester city, VA,17,464050,
Adams County, WA,13,319660,
Asotin County, WA,32,383509,8.3
Benton County, WA,170,2998495,5.7
Chelan County, WA,108,1271894,8.5
Clallam County, WA,142,1251604,11.3
Clark County, WA,544,7327143,7.4
Cowlitz County, WA,128,1783519,7.2
Douglas County, WA,38,658295,5.8
Ferry County, WA,20,134800,14.8
Franklin County, WA,51,1253892,4.1
Grant County, WA,94,1517737,6.2
Grays Harbor County, WA,132,1269141,10.4
Island County, WA,113,1393092,8.1
Jefferson County, WA,57,519194,11
King County, WA,1765,34070779,5.2
Kitsap County, WA,325,4434249,7.3
Kittitas County, WA,42,700394,6
Klickitat County, WA,34,359730,9.5
Lewis County, WA,82,1316674,6.2
Lincoln County, WA,14,186336,
Mason County, WA,109,1023687,10.6
Okanogan County, WA,75,722805,10.4
Pacific County, WA,58,376887,15.4
Pend Oreille County, WA,22,226307,9.7
Pierce County, WA,916,13949796,6.6
San Juan County, WA,24,275718,8.7
Skagit County, WA,145,2038872,7.1
Skamania County, WA,20,192045,10.4
Snohomish County, WA,729,12381880,5.9
Spokane County, WA,581,8198426,7.1
Stevens County, WA,101,761597,13.3
Thurston County, WA,348,4315381,8.1
Wahkiakum County, WA,14,70585,
Walla Walla County, WA,52,1036841,5
Whatcom County, WA,274,3454702,7.9
Whitman County, WA,33,791186,4.2
Yakima County, WA,367,4240096,8.7
Barbour County, WV,22,290519,7.6
Berkeley County, WV,78,1736025,4.5
Boone County, WV,41,445816,9.2
Braxton County, WV,14,262198,
Brooke County, WV,30,438595,6.8
Cabell County, WV,95,1729431,5.5
Calhoun County, WV,17,135549,
Clay County, WV,24,173473,13.8
Doddridge County, WV,15,143021,
Fayette County, WV,62,831704,7.5
Grant County, WV,26,210236,12.4
Greenbrier County, WV,45,633250,7.1
Hampshire County, WV,35,406419,8.6
Hancock County, WV,27,560318,4.8
Hardy County, WV,21,243369,8.6
Harrison County, WV,79,1232640,6.4
Jackson County, WV,37,518541,7.1
Jefferson County, WV,34,906126,3.8
Kanawha County, WV,256,3485404,7.3
Lewis County, WV,17,297767,
Lincoln County, WV,37,393192,9.4
Logan County, WV,55,655313,8.4
McDowell County, WV,53,416355,12.7
Marion County, WV,44,1015693,4.3
Marshall County, WV,23,605867,3.8
Mason County, WV,34,481473,7.1
Mercer County, WV,115,1114532,10.3
Mineral County, WV,27,495665,5.4
Mingo County, WV,37,483271,7.7
Monongalia County, WV,72,1668691,4.3
Monroe County, WV,13,243948,
Morgan County, WV,17,300883,
Nicholas County, WV,42,470106,8.9
Ohio County, WV,28,808177,3.5
Pocahontas County, WV,19,159351,
Preston County, WV,48,579199,8.3
Putnam County, WV,45,979807,4.6
Raleigh County, WV,140,1412910,9.9
Randolph County, WV,39,521397,7.5
Ritchie County, WV,15,185815,
Roane County, WV,24,270768,8.9
Summers County, WV,22,246611,8.9
Taylor County, WV,24,298361,8
Tucker County, WV,16,128465,
Tyler County, WV,12,167661,
Upshur County, WV,26,432340,6
Wayne County, WV,45,761351,5.9
Webster County, WV,17,166929,
Wetzel County, WV,12,301465,
Wood County, WV,77,1564635,4.9
Wyoming County, WV,39,431713,9
Adams County, WI,39,368220,10.6
Ashland County, WI,29,293725,9.9
Barron County, WI,75,820940,9.1
Bayfield County, WI,29,271393,10.7
Brown County, WI,260,4378075,5.9
Buffalo County, WI,23,245188,9.4
Burnett County, WI,36,281898,12.8
Calumet County, WI,45,839555,5.4
Chippewa County, WI,96,1084616,8.9
Clark County, WI,50,617197,8.1
Columbia County, WI,86,997764,8.6
Crawford County, WI,23,301999,7.6
Dane County, WI,464,8554158,5.4
Dodge County, WI,98,1583489,6.2
Door County, WI,41,503013,8.2
Douglas County, WI,65,786961,8.3
Dunn County, WI,57,768278,7.4
Eau Claire County, WI,111,1753687,6.3
Fond du Lac County, WI,140,1803091,7.8
Forest County, WI,25,171906,14.5
Grant County, WI,68,912235,7.5
Green County, WI,52,643932,8.1
Green Lake County, WI,30,343405,8.7
Iowa County, WI,28,421839,6.6
Iron County, WI,12,112245,
Jackson County, WI,39,360703,10.8
Jefferson County, WI,99,1460152,6.8
Juneau County, WI,48,467776,10.3
Kenosha County, WI,158,2906835,5.4
Kewaunee County, WI,16,368793,
La Crosse County, WI,140,2025169,6.9
Lafayette County, WI,27,299652,9
Langlade County, WI,40,362797,11
Lincoln County, WI,52,522564,10
Manitowoc County, WI,97,1466783,6.6
Marathon County, WI,168,2363684,7.1
Marinette County, WI,85,759006,11.2
Marquette County, WI,28,274516,10.2
Milwaukee County, WI,1818,16985039,10.7
Monroe County, WI,68,783097,8.7
Oconto County, WI,64,668415,9.6
Oneida County, WI,62,654127,9.5
Outagamie County, WI,176,3112739,5.7
Ozaukee County, WI,75,1539075,4.9
Pepin County, WI,11,133522,
Pierce County, WI,35,712533,4.9
Polk County, WI,88,780604,11.3
Portage County, WI,86,1242157,6.9
Price County, WI,36,262995,13.7
Racine County, WI,218,3476163,6.3
Richland County, WI,21,323470,6.5
Rock County, WI,200,2842708,7
Rusk County, WI,29,266818,10.9
St. Croix County, WI,74,1412372,5.2
Sauk County, WI,93,1079577,8.6
Sawyer County, WI,41,296552,13.8
Shawano County, WI,69,744682,9.3
Sheboygan County, WI,115,2060767,5.6
Taylor County, WI,34,365464,9.3
Trempealeau County, WI,38,510488,7.4
Vernon County, WI,53,528047,10
Vilas County, WI,38,388397,9.8
Walworth County, WI,129,1796774,7.2
Washburn County, WI,39,286808,13.6
Washington County, WI,142,2295713,6.2
Waukesha County, WI,336,6880598,4.9
Waupaca County, WI,66,940621,7
Waushara County, WI,42,436084,9.6
Winnebago County, WI,188,2950956,6.4
Wood County, WI,111,1343310,8.3
Albany County, WY,20,629712,3.2
Big Horn County, WY,11,207508,
Campbell County, WY,79,753603,10.5
Converse County, WY,31,237044,13.1
Crook County, WY,12,119029,
Fremont County, WY,57,690819,8.3
Goshen County, WY,19,232420,
Johnson County, WY,17,144371,
Laramie County, WY,115,1603975,7.2
Natrona County, WY,124,1322892,9.4
Park County, WY,66,493241,13.4
Sheridan County, WY,21,508070,4.1
Sublette County, WY,17,152336,
Sweetwater County, WY,79,744293,10.6
Teton County, WY,10,370315,
Uinta County, WY,16,365327,
Weston County, WY,11,124602,
